review_id,customer_id,product_category,review_text,star_rating,sentiment,review_date,verified_purchase
832,1583,Sandal,The sandal arrived on time nad matches the description. Material is thinner than I expected.,4,positive,2026-03-08,True
4241,1907,Trouser,Huge letdown.,1,negative,2025-10-24,False
5595,38,Coat,"Wore this coat a few times. It's fine, nothing special.",3,positive,2026-01-14,False
4711,1045,Sneaker,Average sneaker. I don't love it but I don't hate it. Not blown away by this sneaker but I'll keep it. Sizing runs slightly large.,3,neutral,2025-12-19,True
5466,1789,Sneaker,This sneaker is a three out of five for me. Sizing runs slightly large.,3,neutral,2025-09-29,True
4255,1809,Dress,This dress is cheaply made. The material feels cheap and thin. Expected much better from ShopSmart.,1,negative,2026-02-27,True
3948,1666,Ankle Boot,The ankle boot works for what I need. Wouldn't rave about it though.,3,negative,2025-10-11,False
10,620,Bag,Bought this bag on a whim and it's become my favorite piece. Very versatile piece. ,4,positive,2026-03-15,True
3029,113,Sandal,Sizing is completely off and the material is terrible. Returning this sandal.,2,negative,2025-12-22,True
2381,890,Bag,"Great bag, exactly what I was looking for. Perfect for everyday wear.",5,positive,2025-11-13,True
211,182,Ankle Boot,I'd give this ankle boot a solid B minus. Gets the job done.,5,positive,2026-02-19,True
5344,734,Sandal,This sandal is serviceable. I've had it for a week and it's holding up. Would consider alternatives next time.,3,neutral,2025-11-03,True
1532,1865,Trouser,This trouser is a staple now. I wear it constantly.,4,positive,2025-12-15,True
3179,887,Sneaker,"After wearing this sneaker once, the color bled everywhere.",1,neutral,2026-02-08,True
1552,1880,Ankle Boot,"Comfortable, stylish, and well-made. This ankle boot checks all the boxes.",5,positive,2025-12-21,True
375,109,Dress,Five stars. This dress is lovely nad I ordered two more. Got tons of compliments on this dress. Will order again.,5,positive,2025-12-10,True
4245,992,Pullover,Looked great online but in person this pullover is a disaster. ,2,negative,2026-03-04,True
779,49,Trouser,Highly recommend this trouser. Great attention to detail. You won't be disappointed.,5,positive,2025-11-11,True
3858,536,Sneaker,One of the worst online purchases I've ever made. This sneaker is awful.,1,negative,2026-02-06,True
1381,490,Shirt,Five stars. This shirt is amazing and I ordered two more.,5,positive,2025-12-29,True
2786,1993,Sneaker,Wasted my money on this sneaker. Should have read th reviews first. The color was accurate to the picture.,1,negative,2025-10-16,True
1550,1941,Ankle Boot,This ankle boot is perfect for everyday wear. Looks great and feels comfortable.,4,positive,2026-02-02,True
2012,1049,Sneaker,"comfrotable, stylish, and well-made. This sneaker checks all the boxes.",4,positive,2025-09-30,True
230,1109,Sandal,So excellent! The sandal fits perfectly and the color is vibrant. ,5,positive,2026-03-09,False
5697,1611,Ankle Boot,"The quality is acceptable for a ankle boot at this price point. Material is thinner than I expected.  Good in some ways, bad in others. Wore this ankle boot a few times. It's fine, nothing special.",3,neutral,2025-09-28,True
