Year,Mileage,Transmission,Bed_Length,Four_Wheel_Drive,Engine,Condition,Previous_Owners,Price
2020,35000,automatic,standard,Yes,V8,8,1,"$28,500"
2019,48000,Auto,long,no,V6,7,2,"$25,200"
2018,62000,auto,standard,YES,v8,6,2,"$21,800"
2021,22000,manual,short,No,V8,9,1,"$31,000"
2017,78000,automatic,standard,yes,V6,5,3,"$18,500"
2020,40000,Manual,long,Yes,v6,7,1,"$27,500"
2019,52000,auto,standard,NO,V8,6,2,"$24,500"
2022,15000,automatic,short,yes,V8,9,1,"$35,000"
2018,68000,Auto,standard,Yes,V6,5,3,"$20,500"
2017,85000,manual,long,no,v8,4,4,"$17,200"
2021,28000,auto,standard,YES,V8,8,1,"$32,500"
2020,38000,automatic,short,No,V6,7,2,"$28,000"
2019,,Auto,standard,yes,V8,6,2,"$24,800"
2018,65000,manual,long,Yes,v6,5,2,"$21,200"
2022,10000,automatic,standard,YES,V8,10,1,"$37,500"
2017,82000,auto,short,no,V6,4,3,"$17,800"
2020,42000,Manual,standard,Yes,v8,7,1,"$27,000"
2019,50000,automatic,long,NO,V6,6,2,"$25,000"
2021,20000,Auto,standard,yes,V8,9,1,"$33,500"
2018,60000,auto,short,Yes,V6,6,2,"$22,000"
2023,8000,automatic,standard,Yes,v8,10,1,"$42,000"
2020,36000,manual,long,no,V8,7,1,"$28,200"
2019,55000,Auto,standard,YES,V6,5,3,"$24,000"
2017,90000,automatic,short,No,v6,3,4,"$16,500"
2021,25000,auto,standard,yes,V8,8,1,"$32,000"
2018,,manual,long,Yes,V8,6,,"$20,800"
2022,12000,automatic,standard,YES,V6,9,1,"$36,200"
2020,41000,Auto,short,no,v8,7,2,"$27,200"
2019,49000,auto,standard,Yes,V6,6,2,"$25,100"
2017,80000,Manual,long,NO,V8,4,3,"$18,200"
2021,23000,automatic,standard,yes,v8,8,1,"$33,000"
2020,39000,auto,short,Yes,V6,7,1,"$27,800"
2018,66000,Auto,standard,no,V8,5,2,"$20,800"
2019,53000,automatic,long,YES,v6,6,2,"$24,200"
2022,11000,manual,standard,No,V8,9,1,"$36,800"
2017,88000,auto,short,yes,V6,4,4,"$17,000"
2020,37000,automatic,standard,Yes,v8,8,1,"$28,300"
2021,26000,Auto,long,YES,V8,8,1,"$32,200"
2019,51000,auto,standard,no,V6,6,2,"$24,600"
2018,63000,automatic,short,Yes,v6,5,3,"$21,500"
2023,5000,Auto,standard,yes,V8,10,1,"$44,000"
2020,43000,manual,long,No,v8,6,2,"$26,500"
2019,,automatic,standard,YES,V6,6,2,"$24,300"
2017,83000,auto,short,yes,V6,4,3,"$17,500"
2021,27000,Auto,standard,Yes,V8,8,1,"$32,300"
2020,35000,automatic,standard,Yes,V8,8,1,"$28,500"
2018,67000,auto,long,no,v6,5,2,"$20,600"
2019,54000,Manual,standard,YES,V8,6,2,"$24,100"
2022,14000,automatic,short,No,V6,9,1,"$35,500"
2020,35000,automatic,standard,Yes,V8,8,1,"$28,500"
2017,,auto,standard,yes,v8,5,,"$19,000"
2021,21000,automatic,long,YES,V8,9,1,"$33,200"
2018,61000,Auto,standard,No,V6,5,2,"$22,200"
2019,47000,auto,short,yes,v8,7,1,"$25,400"
2020,44000,automatic,standard,Yes,V6,6,2,"$26,800"
2022,13000,Manual,long,no,V8,9,1,"$35,800"
2017,86000,auto,standard,YES,v6,4,3,"$17,300"
2021,24000,Auto,short,Yes,V8,8,1,"$32,800"
2019,56000,automatic,standard,no,V6,5,2,"$23,800"
2018,64000,auto,long,yes,v8,5,3,"$21,000"
